Measurement Time,Site,Vessel Name,Contents,Vessel Type,Distance Units,Volume Units,Weight Units,Vessel Height,Vessel Radius,Vessel Length,Vessel Width,Hopper Height,Outlet Radius,Outlet Length,Outlet Width,Capacity Volume,Sensor Type,Sensor Address,Measurement in Feet,Measurement in Meters,Product Density,Density Units,Product Volume,Product Weight,Product Height,Headroom Volume,Headroom Weight,Headroom Height,% Full,Alarm Condition
2/6/2025 7:00:31 AM,'Current Location','Silo 01','LL218','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'1'",20.7,6.3094,36.00,'lbs/cu ft',8512.77,306459.85,59.3,3186.52,114714.63,20.7,73,
2/6/2025 7:01:20 AM,'Current Location','Silo 02','LL625','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'2'",65.35,19.9187,35.00,'lbs/cu ft',1639.44,57380.4,14.65,10059.85,352094.78,65.35,14,
2/6/2025 7:00:41 AM,'Current Location','Silo 03','LL318','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'3'",25.4375,7.7534,36.00,'lbs/cu ft',3682.73,132578.35,36.56,2876.91,103568.89,25.44,56,
2/6/2025 7:01:25 AM,'Current Location','Silo 04','LL','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,5.80,0.00,0.00,0.00,11689.03,'SmartBob-II (Protocol A)',"'4'",70.1875,21.3932,35.00,'lbs/cu ft',884.5,30957.58,9.61,10804.53,378158.42,70.19,8,'Low Alarm'
2/6/2025 7:00:21 AM,'Current Location','Silo 05','LL511','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'5'",13.5,4.1148,36.00,'lbs/cu ft',9621.13,346360.59,66.5,2078.16,74813.89,13.5,82,
2/6/2025 7:00:50 AM,'Current Location','Silo 06','LL118','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'6'",41.65,12.6949,36.00,'lbs/cu ft',1849.14,66569.09,20.35,4710.5,169578.14,41.65,28,
2/6/2025 7:00:08 AM,'Current Location','Silo 07','RC2SP','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'7'",0.65,0.1981,36.00,'lbs/cu ft',11599.23,417572.33,79.35,100.06,3602.15,0.65,99,'High Alarm'
2/6/2025 7:00:24 AM,'Current Location','Silo 08','LL2005','CYLINDER','ft','cu ft','lbs',56.00,6.00,0.00,0.00,6.00,0.00,0.00,0.00,6559.65,'SmartBob-II (Protocol A)',"'8'",8.0375,2.4498,36.00,'lbs/cu ft',5650.63,203422.52,53.96,909.02,32724.71,8.04,86,
2/6/2025 7:00:43 AM,'Current Location','Silo 09','LL218','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'9'",26.925,8.2067,36.00,'lbs/cu ft',7554.51,271962.34,53.08,4144.78,149212.14,26.92,65,
2/6/2025 7:00:58 AM,'Current Location','Silo 10','LL318','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,6.00,0.00,0.00,0.00,11699.29,'SmartBob-II (Protocol A)',"'10'",43.3125,13.2016,36.00,'lbs/cu ft',5031.85,181146.59,36.69,6667.44,240027.89,43.31,43,
2/6/2025 7:01:42 AM,'Current Location','Silo 11','LL625','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'11'",81.9,24.9631,36.00,'lbs/cu ft',0,0,0,11750.6,423021.73,81,0,'Low Alarm'
2/6/2025 7:00:36 AM,'Current Location','Silo 12','LL511','CYLINDER','ft','cu ft','lbs',75.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11904.54,'SmartBob-II (Protocol A)',"'12'",21.6,6.5837,36.00,'lbs/cu ft',8579.48,308861.28,60.4,3325.06,119702.22,21.6,72,
2/6/2025 7:01:38 AM,'Current Location','Silo 13','LL','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'13'",79.6125,24.2659,36.00,'lbs/cu ft',2.8,100.7,1.39,11747.81,422921.03,79.61,0,'Low Alarm'
2/6/2025 7:00:24 AM,'Current Location','Silo 14','LL7458','CYLINDER','ft','cu ft','lbs',74.00,7.00,0.00,0.00,7.00,0.00,0.00,0.00,11750.6,'SmartBob-II (Protocol A)',"'14'",13.6375,4.1567,36.00,'lbs/cu ft',9651.27,347445.85,67.36,2099.33,75575.88,13.64,82,
