Site,Product_Group,Truck_Appointment_Date,BL_weight,Freight_Amount
AMAZ,SW,2020-12-02,24080.0,800.36
AMAZ,SW,2021-03-20,38271.0,975.0
AMAZ,SW,2021-12-20,2880.0,343.29
AMAZ,SW,2022-02-21,33600.0,725.0
AMAZ,SW,2022-10-18,186091.0,14567.01
AMAZ,SW,2022-10-19,171539.0,13787.75
AMAZ,SW,2022-10-20,59321.0,3338.9399999999996
AMAZ,SW,2022-10-21,59778.0,6160.13
AMAZ,SW,2022-10-24,22634.0,1600.0
AMAZ,SW,2022-10-25,30048.0,850.0
AMAZ,SW,2022-10-26,126719.0,5403.18
AMAZ,SW,2022-10-27,117589.0,4820.08
AMAZ,SW,2022-10-28,45538.0,4205.93
AMAZ,SW,2022-10-31,126390.0,11495.8
AMAZ,SW,2022-11-01,57713.0,2170.71
AMAZ,SW,2022-11-03,54183.0,850.01
AMAZ,SW,2022-11-04,3072.0,0.0
AMAZ,SW,2022-11-07,7855.0,1111.7
AMAZ,SW,2022-11-08,134514.0,7324.62
AMAZ,SW,2022-11-09,46119.0,3692.73
AMAZ,SW,2022-11-10,33936.0,0.01
AMAZ,SW,2022-11-14,20587.0,2250.0
AMAZ,SW,2022-11-18,88697.0,2976.19
AMAZ,SW,2022-11-21,36838.0,5054.95
AMAZ,SW,2022-11-22,21432.0,2505.15
AMAZ,SW,2022-12-22,28006.0,1850.0
AMAZ,SW,2023-01-02,113865.0,7087.03
AMAZ,SW,2023-01-04,7272.0,1615.0
AMAZ,SW,2023-01-07,19392.0,3202.0
AMAZ,SW,2023-01-11,27320.0,3477.33
AMAZ,SW,2023-01-12,104778.0,7644.65
AMAZ,SW,2023-01-13,21711.0,850.0
AMAZ,SW,2023-01-16,4311.0,0.0
AMAZ,SW,2023-01-19,70434.0,537.52
AMAZ,SW,2023-01-23,22741.0,575.0
AMAZ,SW,2023-02-02,140280.0,4751.04
AMAZ,SW,2023-02-03,35308.0,2700.0
AMAZ,SW,2023-02-07,8687.0,0.0
AMAZ,SW,2023-02-08,31290.0,4390.37
AMAZ,SW,2023-02-09,60912.0,910.01
AMAZ,SW,2023-02-13,19921.0,2000.0
AMAZ,SW,2023-02-15,12120.0,0.0
AMAZ,SW,2023-02-21,16551.0,350.6
AMAZ,SW,2023-02-22,120436.0,6070.52
AMAZ,SW,2023-02-23,44603.0,2085.68
AMAZ,SW,2023-02-24,78823.0,10423.93
AMAZ,SW,2023-02-25,68051.0,8550.0
AMAZ,SW,2023-02-27,229249.0,10284.92
AMAZ,SW,2023-02-28,257615.0,6055.299999999999
AMAZ,SW,2023-03-01,141547.0,4077.52
AMAZ,SW,2023-03-02,112646.0,4185.1
AMAZ,SW,2023-03-03,114200.0,2933.61
AMAZ,SW,2023-03-06,131931.0,10935.2
AMAZ,SW,2023-03-07,139512.0,5578.04
AMAZ,SW,2023-03-08,174757.0,10366.380000000001
AMAZ,SW,2023-03-09,110181.0,3600.0
AMAZ,SW,2023-03-10,81523.0,6927.48
AMAZ,SW,2023-03-13,137717.0,7252.17
AMAZ,SW,2023-03-14,102205.0,4105.77
AMAZ,SW,2023-03-15,132573.0,6969.16
AMAZ,SW,2023-03-16,179642.0,4915.46
AMAZ,SW,2023-03-17,132992.0,5407.32
AMAZ,SW,2023-03-20,127698.0,6390.37
AMAZ,SW,2023-03-21,251446.0,11462.52
AMAZ,SW,2023-03-22,85761.0,5787.71
AMAZ,SW,2023-03-23,216635.0,9471.76
AMAZ,SW,2023-03-24,178451.0,8569.220000000001
AMAZ,SW,2023-03-25,75680.0,3275.1
AMAZ,SW,2023-03-27,124735.0,5050.69
AMAZ,SW,2023-03-28,173718.0,13480.52
AMAZ,SW,2023-03-29,111188.0,4575.0
AMAZ,SW,2023-03-30,112234.0,5481.27
AMAZ,SW,2023-03-31,95596.0,3073.95
AMAZ,SW,2023-04-03,256638.0,17039.21
AMAZ,SW,2023-04-04,170878.0,8475.0
AMAZ,SW,2023-04-05,162643.0,7743.3
AMAZ,SW,2023-04-06,47092.0,2002.97
AMAZ,SW,2023-04-10,70805.0,3925.06
AMAZ,SW,2023-04-11,202416.0,8565.0
AMAZ,SW,2023-04-12,198007.0,6243.1
AMAZ,SW,2023-04-13,94817.0,5550.97
AMAZ,SW,2023-04-14,74087.0,6648.81
AMAZ,SW,2023-04-17,48217.0,850.0
AMAZ,SW,2023-04-18,206411.0,9812.25
AMAZ,SW,2023-04-19,88171.0,4730.219999999999
AMAZ,SW,2023-04-20,124587.0,5117.860000000001
AMAZ,SW,2023-04-21,134962.0,4803.43
AMAZ,SW,2023-04-24,209235.0,6670.0
AMAZ,SW,2023-04-25,155031.0,9372.47
AMAZ,SW,2023-04-26,220444.0,8295.55
AMAZ,SW,2023-04-27,209949.0,8048.8
AMAZ,SW,2023-04-28,198180.0,10977.58
AMAZ,SW,2023-04-29,86925.0,2175.0
AMAZ,SW,2023-05-01,79751.0,6091.67
AMAZ,SW,2023-05-02,90808.0,4012.42
AMAZ,SW,2023-05-03,124889.0,5598.96
AMAZ,SW,2023-05-04,23490.0,1283.25
AMAZ,SW,2023-05-05,118807.0,8102.08
AMAZ,SW,2023-05-08,139042.0,6785.860000000001
AMAZ,SW,2023-05-09,133676.0,9291.44
AMAZ,SW,2023-05-10,181051.0,10142.16
AMAZ,SW,2023-05-11,52447.0,4653.3
AMAZ,SW,2023-05-12,182143.0,12059.47
AMAZ,SW,2023-05-15,35460.0,1996.6599999999999
AMAZ,SW,2023-05-16,80916.0,5183.3
AMAZ,SW,2023-05-17,140144.0,8702.79
AMAZ,SW,2023-05-18,130739.0,5726.9400000000005
AMAZ,SW,2023-05-19,60618.0,908.5500000000001
AMAZ,SW,2023-05-22,195376.0,13734.619999999999
AMAZ,SW,2023-05-23,163758.0,11977.7
AMAZ,SW,2023-05-24,165247.0,4148.29
AMAZ,SW,2023-05-25,178650.0,3796.3
AMAZ,SW,2023-05-26,11573.0,1525.2800000000002
AMAZ,SW,2023-05-30,71764.0,3134.42
AMAZ,SW,2023-05-31,165225.0,6923.13
AMAZ,SW,2023-06-01,34665.0,2345.0
AMAZ,SW,2023-06-02,246450.0,11231.59
AMAZ,SW,2023-06-05,115498.0,8003.79
AMAZ,SW,2023-06-06,182483.0,16013.44
AMAZ,SW,2023-06-07,181955.0,11278.48
AMAZ,SW,2023-06-08,282923.0,12050.71
AMAZ,SW,2023-06-09,144863.0,8640.22
AMAZ,SW,2023-06-11,16590.0,0.0
AMAZ,SW,2023-06-12,138259.0,9766.79
AMAZ,SW,2023-06-13,231065.0,15139.17
AMAZ,SW,2023-06-14,295807.0,12388.91
AMAZ,SW,2023-06-15,191176.0,13053.61
AMAZ,SW,2023-06-16,97642.0,5554.78
AMAZ,SW,2023-06-19,93365.0,5001.95
AMAZ,SW,2023-06-20,201088.0,10828.91
AMAZ,SW,2023-06-21,282511.0,15594.07
AMAZ,SW,2023-06-22,122205.0,5245.0
AMAZ,SW,2023-06-23,21352.0,608.36
AMAZ,SW,2023-06-26,152418.0,7700.0
AMAZ,SW,2023-06-27,115610.0,3583.4700000000003
AMAZ,SW,2023-06-28,101100.0,3877.68
AMAZ,SW,2023-06-29,99629.0,4724.13
AMAZ,SW,2023-06-30,46022.0,6759.28
AMAZ,SW,2023-07-03,93612.0,4390.83
AMAZ,SW,2023-07-05,87682.0,6218.17
AMAZ,SW,2023-07-06,85838.0,2710.15
AMAZ,SW,2023-07-10,56927.0,4401.91
AMAZ,SW,2023-07-11,217693.0,9048.0
AMAZ,SW,2023-07-12,156985.0,10024.39
AMAZ,SW,2023-07-13,261159.0,10995.79
AMAZ,SW,2023-07-14,92848.0,10409.94
AMAZ,SW,2023-07-15,10846.0,850.0
AMAZ,SW,2023-07-17,108857.0,4045.86
AMAZ,SW,2023-07-18,190214.0,7932.63
AMAZ,SW,2023-07-19,124470.0,6914.51
AMAZ,SW,2023-07-20,126012.0,3775.6
AMAZ,SW,2023-07-21,46731.0,7292.7
AMAZ,SW,2023-07-24,219567.0,9980.6
AMAZ,SW,2023-07-25,140021.0,3945.45
AMAZ,SW,2023-07-26,148620.0,9222.03
AMAZ,SW,2023-07-27,97373.0,4945.7699999999995
AMAZ,SW,2023-07-28,104025.0,10840.1
AMAZ,SW,2023-07-29,138884.0,7750.0
AMAZ,SW,2023-07-31,128849.0,5285.9400000000005
AMAZ,SW,2023-08-01,151109.0,4428.32
AMAZ,SW,2023-08-02,141121.0,4886.55
AMAZ,SW,2023-08-03,154610.0,7440.0
AMAZ,SW,2023-08-04,168704.0,15328.57
AMAZ,SW,2023-08-07,98834.0,3960.0
AMAZ,SW,2023-08-08,101328.0,7780.46
AMAZ,SW,2023-08-09,158478.0,7605.0
AMAZ,SW,2023-08-10,19226.0,0.0
AMAZ,SW,2023-08-11,74535.0,2750.0
AMAZ,SW,2023-08-14,133225.0,4626.6
AMAZ,SW,2023-08-27,33464.0,1497.8
AMAZ,SW,2023-08-28,28215.0,2023.9
AMAZ,SW,2023-08-29,139832.0,10438.21
AMAZ,SW,2023-08-30,92403.0,4396.58
AMAZ,SW,2023-08-31,243896.0,7024.860000000001
AMAZ,SW,2023-09-01,103473.0,7892.74
AMAZ,SW,2023-09-04,13872.0,1300.0
AMAZ,SW,2023-09-05,59481.0,2294.64
AMAZ,SW,2023-09-06,179663.0,9415.03
AMAZ,SW,2023-09-07,228199.0,16574.12
AMAZ,SW,2023-09-08,132723.0,9376.09
AMAZ,SW,2023-09-09,19931.0,0.1
AMAZ,SW,2023-09-11,122414.0,5410.7
