Site,BL_Number,Truck_Appointment_Date,BL_weight,Freight_Amount,Product_Group
AMAZ,W28A973,2022-10-19,16039.0,2450.0,SW
AMAZ,W28A986,2022-10-21,20115.0,4400.0,SW
AMAZ,W28F256,2022-10-25,30048.0,850.0,SW
AMAZ,W29A093,2022-10-18,31304.0,935.48,SW
AMAZ,W29A095,2022-10-19,31304.0,848.1,SW
AMAZ,W29A898,2022-10-18,21880.0,695.07,SW
AMAZ,W29B143,2022-10-31,26643.0,900.0,SW
AMAZ,W29B634,2022-10-18,3636.0,1507.8,SW
AMAZ,W29C116,2022-10-19,25395.0,1026.43,SW
AMAZ,W29D073,2022-10-20,33739.0,896.14,SW
AMAZ,W29E068,2022-11-18,27806.0,875.0,SW
AMAZ,W2AA068,2023-10-16,3932.0,293.42,SW
AMAZ,W2AA131,2022-10-18,17840.0,1080.34,SW
AMAZ,W2AA226,2022-10-18,21696.0,875.0,SW
AMAZ,W2AA227,2022-10-19,6400.0,0.0,SW
AMAZ,W2AA316,2022-10-27,12120.0,2405.07,SW
AMAZ,W2AA338,2022-10-19,20907.0,2200.0,SW
AMAZ,W2AA339,2022-10-21,32724.0,1760.12,SW
AMAZ,W2AA341,2022-11-03,36582.0,850.0,SW
AMAZ,W2AA405,2022-10-19,27820.0,4000.0,SW
AMAZ,W2AA414,2022-10-18,2506.0,623.9,SW
AMAZ,W2AA443,2022-10-18,6060.0,810.11,SW
AMAZ,W2AA444,2022-10-18,10619.0,0.0,SW
AMAZ,W2AA460,2022-10-18,33385.0,3000.0,SW
AMAZ,W2AA464,2022-10-18,12800.0,0.0,SW
AMAZ,W2AA470,2022-10-20,7272.0,1657.8,SW
AMAZ,W2AA476,2022-10-21,6939.0,0.01,SW
AMAZ,W2AA552,2022-10-19,8710.0,661.18,SW
AMAZ,W2AA572,2022-10-19,19800.0,957.29,SW
AMAZ,W2AA573,2022-10-20,17340.0,785.0,SW
AMAZ,W2AA609,2022-10-20,970.0,0.0,SW
AMAZ,W2AA629,2022-10-19,2425.0,0.0,SW
AMAZ,W2AA671,2022-10-26,7316.0,681.29,SW
AMAZ,W2AA681,2022-10-19,6339.0,762.4,SW
AMAZ,W2AA702,2022-11-18,21603.0,0.1,SW
AMAZ,W2AA745,2022-10-31,10680.0,2614.0,SW
AMAZ,W2AA761,2022-11-14,20587.0,2250.0,SW
